"term","nss.1987","nss.1988","nss.1990","nss.1991","nss.1993","nss.1994","nss.1995","nss.1996","nss.1997","nss.1998","nss.1999","nss.2001","nss.2002","nss.2006","nss.2010","nss.2015","termc"
"aaa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"aaa"
"abandon",1,2,0,0,1,0,0,0,0,0,0,1,0,5,0,0,"abandon"
"abdic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"abdicate"
"abdou",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"abdou"
"abdoulay",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"abdoulaye"
"abdurrahman",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"abdurrahman"
"abet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"abetted"
"abhor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"abhors"
"abid",1,3,0,1,0,0,0,0,0,1,1,1,0,0,1,1,"abide"
"abil",15,20,11,17,8,9,14,14,27,37,33,43,8,5,38,8,"abilities"
"abkhazia",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"abkhazia"
"abl",5,6,7,13,5,5,7,10,7,12,8,11,18,7,14,5,"able"
"abm",6,3,1,0,0,2,4,3,3,8,11,13,0,0,0,0,"abm"
"abmtmd",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"abmtmd"
"abolish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"abolish"
"abolit",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"abolition"
"abound",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,"abound"
"aboveground",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"aboveground"
"abroad",4,5,5,4,10,31,37,42,23,36,35,33,2,12,32,13,"abroad"
"abrog",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abrogation"
"absenc",1,2,0,0,1,1,1,1,0,1,0,0,0,1,0,0,"absence"
"absent",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"absent"
"absolut",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"absolute"
"absolv",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"absolve"
"absorb",1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,"absorb"
"abund",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"abundance"
"abus",0,0,1,2,0,2,2,2,6,11,9,7,3,5,2,5,"abuse"
"academ",0,1,0,2,0,0,0,0,0,2,1,2,0,0,0,0,"academia"
"academi",0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,"academia"
"academia",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"academia"
"acauperl",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"acauperl"
"acc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"acce"
"acced",0,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,"accede"
"acceler",2,1,1,7,2,0,1,2,3,6,7,12,0,2,8,4,"accelerate"
"accentu",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"accentuated"
"accept",4,7,5,9,2,4,6,4,4,9,5,10,3,2,6,0,"accept"
"access",13,13,9,13,7,19,22,29,26,46,29,38,12,8,26,13,"access"
"accid",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"accident"
"accident",0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,"accident"
"accommod",0,0,2,2,0,0,0,1,0,0,2,2,0,0,0,0,"accommodate"
"accompani",0,0,0,0,1,0,2,2,0,0,1,1,1,0,1,0,"accompanied"
"accomplic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"accomplices"
"accomplish",11,10,2,1,1,2,4,6,2,4,4,6,2,3,3,1,"accomplish"
"accord",5,9,4,2,1,8,8,9,10,14,11,13,1,3,3,4,"accord"
"accordi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"accordi"
"account",4,6,6,1,3,4,4,7,4,14,10,16,7,12,31,15,"account"
"accru",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"accrue"
"accumul",0,0,0,1,0,1,1,1,0,0,0,2,1,0,2,0,"accumulated"
"accur",3,4,1,1,3,0,0,0,0,0,1,1,1,1,1,0,"accuracy"
"accuraci",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,""
"aceh",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"aceh"
"achiev",46,39,14,13,23,10,23,28,23,32,34,35,14,9,21,13,"achievable"
"acknowledg",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"acknowledged"
"acquir",3,3,1,1,1,1,1,1,1,3,2,5,6,2,1,1,"acquir"
"acquisit",5,2,7,1,2,2,2,1,1,5,3,4,1,3,2,0,"acquisition"
"acrf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"acrf"
"acri",0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,"acri"
"across",6,3,7,9,0,5,5,6,9,20,12,12,9,12,20,14,"across"
"acsa",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"acsa"
"acss",0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,"acss"
"activiti€",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"activiti€s"
"act",6,10,4,5,5,16,18,19,11,28,30,38,16,16,16,11,"act"
"actand",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"actand"
"acti",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"acti"
"action",12,21,7,11,10,5,10,18,12,32,22,33,19,24,46,24,"action"
"activ",30,29,21,20,20,26,26,35,34,61,52,63,14,23,13,12,"activated"
"activist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"activists"
"actor",1,0,0,2,0,1,3,3,2,3,3,4,1,7,15,11,"actor"
"actual",0,4,2,1,0,0,0,0,0,0,0,3,2,0,1,0,"actual"
"acut",1,0,0,1,1,2,2,2,1,1,0,0,1,0,0,1,"acute"
"adapt",2,4,6,3,3,1,4,5,10,6,9,13,3,2,12,4,"adapt"
"add",1,2,2,0,0,1,4,3,0,1,0,2,0,0,0,0,"add"
"addit",22,26,15,4,12,10,14,26,12,19,21,28,0,2,7,5,"addition"
"addr",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"addr"
"address",4,1,8,4,6,16,20,26,19,30,30,39,7,18,34,10,"address"
"adequ",14,13,3,4,4,2,2,2,4,6,2,2,0,1,2,0,"adequacy"
"adequaci",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"adership",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"adership"
"adher",1,2,0,1,2,3,3,3,7,10,11,14,1,1,2,1,"adhere"
"adjac",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"adjacent"
"adjoin",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"adjoin"
"adjud",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"adjudication"
"adjust",2,5,12,6,0,1,0,2,0,2,0,1,4,2,2,0,"adjust"
"admi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"admi"
"administ",0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"administer"
"administr",13,12,3,0,0,33,39,51,19,28,27,28,10,26,14,4,"administration"
"admir",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"admiral"
"admiss",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"admission"
"admit",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"admitted"
"adopt",2,5,1,3,1,2,2,7,3,9,5,10,1,4,1,1,"adopt"
"adriat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"adriatic"
"adroit",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"adroitly"
"adv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"adv"
"advanc",23,19,13,14,10,15,17,29,29,42,34,53,11,34,94,36,"advance"
"advantag",27,12,4,5,2,4,4,5,1,7,9,10,8,2,6,5,"advantage"
"advent",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"advent"
"adventur",5,1,1,2,0,1,1,1,1,1,1,0,0,0,0,0,"adventures"
"adventuri",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"adventuri"
"advers",1,6,0,0,1,0,0,0,0,4,1,4,1,2,0,2,"adversari"
"adversari",17,19,5,7,8,3,3,4,9,13,13,21,11,3,10,6,"adversari"
"advertis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"advertises"
"advic",0,0,1,2,1,1,2,7,0,6,8,6,0,0,0,1,"advice"
"advis",0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,1,"advisable"
"advisor",2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,"advisor"
"advisori",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,""
"advoc",0,1,1,0,3,3,3,3,2,2,3,6,1,4,1,1,"advocacy"
"advocaci",0,0,0,0,0,1,1,3,2,3,2,2,0,0,0,1,""
"aea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"aea"
"aegean",0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,"aegean"
"aegi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aegis"
"aeria",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aeria"
"aerial",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"aerial"
"aerospac",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,"aerospace"
"afdb",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"afdb"
"affair",4,4,4,0,0,4,5,4,7,14,9,8,2,0,2,1,"affairs"
"affairsand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"affairsand"
"affect",7,12,3,10,3,7,9,11,13,18,19,18,0,3,7,2,"affect"
"affili",0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,3,"affiliated"
"affirm",0,1,0,0,0,2,2,2,0,1,2,1,1,2,2,3,"affirm"
"afflcan",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"afflcan"
"afflict",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"afflict"
"affluent",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"affluent"
"afford",3,3,0,2,2,1,2,1,0,1,3,4,1,3,6,5,"afford"
"affront",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"affront"
"afghan",2,3,2,0,0,0,0,0,0,1,0,0,0,3,5,3,"afghan"
"afghanistan",3,10,3,2,1,1,1,1,1,5,2,4,6,15,20,10,"afghanistan"
"afghanlslan",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"afghanlslan"
"africa",9,27,11,13,7,22,30,36,30,50,51,63,15,15,16,29,"africa"
"african",3,10,0,3,1,1,1,3,10,29,33,36,4,11,8,11,"african"
"afropessim",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"afropessimism"
"afsi",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"afsi"
"aftermath",0,0,1,5,0,0,0,1,0,0,0,1,0,0,4,2,"aftermath"
"afterward",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"afterward"
"age",1,1,0,1,2,0,0,1,1,1,0,10,3,0,3,0,"age"
"agenc",8,9,8,1,5,7,8,16,13,42,24,28,1,8,8,0,"agencies"
"agenda",0,2,8,12,12,1,2,8,13,16,13,13,6,10,11,14,"agenda"
"agent",1,0,1,0,0,0,0,1,0,2,0,1,1,1,2,1,"agent"
"ageold",0,0,0,0,2,0,2,3,0,0,0,1,0,0,0,0,"ageold"
"aggr",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"aggravate"
"aggrav",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"aggravate"
"aggreg",1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,"aggregate"
"aggress",29,28,8,14,9,16,18,27,18,24,22,23,6,5,3,19,"aggression"
"aggressor",0,2,0,1,3,4,5,6,1,0,1,9,1,0,0,0,"aggressor"
"agil",0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,"agile"
"ago",2,1,2,1,2,1,0,0,3,4,3,6,0,2,0,1,"ago"
"agoa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"agoa"
"agre",7,7,5,8,6,3,19,26,9,39,22,25,2,2,3,0,"agree"
"agreement",39,36,23,23,14,27,45,81,45,68,59,78,13,10,14,9,"agreement"
"agreementsreform",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"agreementsreforms"
"agreementstho",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"agreementstho"
"agricultur",0,1,2,3,1,2,2,2,3,15,10,14,5,2,5,4,"agricultural"
"ahead",4,2,1,3,2,1,2,3,1,7,3,9,1,8,2,1,"ahead"
"aid",16,9,13,13,8,5,4,6,4,8,11,14,11,8,3,2,"aid"
"aidsfre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"aidsfree"
"aim",10,20,2,3,4,7,8,12,11,8,10,9,3,2,3,5,"aim"
"air",19,10,5,7,3,4,5,6,2,8,4,13,1,2,6,5,"air"
"airborn",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"airborne"
"aircraft",3,2,0,3,0,0,0,0,1,3,2,2,0,0,0,0,"aircraft"
"airdrop",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"airdrops"
"airfield",1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"airfield"
"airlift",5,2,0,1,0,3,2,2,0,1,1,0,0,0,0,0,"airlift"
"airmobil",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"airmobile"
"airport",0,0,0,0,0,1,1,1,1,3,0,0,0,0,1,0,"airports"
"airpow",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"airpower"
"airspac",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"airspace"
"airwil",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"airwill"
"aiso",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aiso"
"akhromeyev",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"akhromeyev"
"alarm",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"alarm"
"alaska",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"alaska"
"albania",0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,"albania"
"albanian",0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,"albanian"
"albeit",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"albeit"
"albright",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"albright"
"alcohol",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"alcohol"
"alert",0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,2,"alert"
"algeria",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,"algeria"
"alien",0,0,0,0,0,0,0,1,2,4,1,1,0,3,2,0,"alien"
"align",1,1,0,0,0,0,0,0,0,0,0,1,0,2,4,3,"align"
"alii",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alii"
"alik",0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,"alike"
"aliv",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"alive"
"allack",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"allack"
"allay",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"allay"
"alleg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"allegation"
"allevi",0,0,0,0,0,2,2,3,2,2,4,4,1,1,1,0,"alleviate"
"allhazard",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"allhazard"
"alli",76,97,45,35,23,28,37,49,22,34,33,62,34,30,45,31,"alli"
"allian",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"allian"
"allianc",47,47,26,19,11,2,6,11,11,23,22,36,17,9,20,12,"allianc"
"alliancebas",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alliancebased"
"alliancetoalli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alliancetoalliance"
"alliancewid",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"alliancewide"
"alliesa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alliesas"
"alliesrequir",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alliesrequire"
"allieswhich",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"allieswhich"
"allo",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"allo"
"alloc",1,1,0,0,0,1,1,1,0,0,0,0,2,2,0,1,"alloca"
"alloca",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"alloca"
"alloftheabov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"alloftheabove"
"allout",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"allout"
"allow",14,8,5,12,6,5,7,9,3,12,9,21,13,11,12,5,"allow"
"allvolunt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"allvolunteer"
"almost",1,2,3,2,1,0,1,1,0,1,2,4,1,2,0,1,"almost"
"alo",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alo"
"alon",6,4,1,1,2,1,3,3,5,5,7,5,4,3,10,4,"alone"
"along",2,2,2,2,5,6,9,14,0,1,4,3,4,9,1,1,"along"
"alongsid",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,"alongside"
"alqaida",0,0,0,0,0,0,0,0,0,0,0,0,1,10,25,9,"alqaida"
"alreadi",1,6,5,11,5,7,7,11,5,11,12,15,5,4,3,2,""
"also",44,48,46,70,26,54,73,108,59,106,89,138,30,44,66,35,"also"
"alter",3,8,2,0,1,1,1,1,0,0,0,1,0,0,1,1,"alter"
"altern",2,6,3,4,2,4,4,5,3,12,9,10,2,1,2,3,"alternate"
"although",4,8,2,4,3,2,1,3,2,9,9,11,0,0,2,1,"although"
"altogeth",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"altogether"
"alway",4,3,7,7,4,0,4,6,10,8,5,4,4,3,13,7,"alway"
"ambassador",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"ambassadors"
